"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
5.1943e-06,-9.2459e-09,-6.9097e-09,3.11e-10,-5.6733e-12,2.1826e-06,3.6886e-06,0.12625,900,0.0035789,0
0.00036594,-3.0909e-06,-4.33e-07,3.2068e-07,-1.4516e-09,0.00012128,0.00024377,1.0605,900,0.030063,0
0.0012537,-1.9756e-05,-1.3249e-06,2.838e-06,-6.6015e-09,0.00034452,0.00080051,1.9948,900,0.056548,0
0.0026028,-6.015e-05,-2.4655e-06,1.015e-05,-7.4271e-09,0.00060767,0.0016103,2.9291,900,0.083032,0
0.0042664,-0.00012871,-3.6405e-06,2.4175e-05,1.9148e-08,0.00087477,0.0025827,3.8633,900,0.10952,0
0.0060521,-0.00022282,-4.6194e-06,4.5755e-05,9.9522e-08,0.0011295,0.0036137,4.7976,900,0.136,0
0.0077891,-0.00033545,-5.1627e-06,7.4839e-05,2.4366e-07,0.001367,0.0046155,5.7319,900,0.16249,0
0.0093508,-0.0004589,-5.0547e-06,0.00011125,4.4196e-07,0.0015862,0.0055241,6.6662,900,0.18897,0
0.010678,-0.00058549,-4.2809e-06,0.0001541,6.6643e-07,0.0017889,0.0063103,7.6004,900,0.21545,0
0.011734,-0.00070934,-2.9859e-06,0.00020295,8.878e-07,0.0019756,0.006956,8.5347,900,0.24194,0
0.012538,-0.0008265,-1.5309e-06,0.00025676,1.0836e-06,0.0021479,0.0074713,9.469,900,0.26842,0
0.013117,-0.00093475,-3.0506e-07,0.00031473,1.243e-06,0.0023067,0.0078694,10.403,900,0.29491,0
0.013505,-0.0010331,3.5706e-07,0.00037607,1.366e-06,0.0024524,0.0081668,11.338,900,0.32139,0
0.013735,-0.0011213,2.5525e-07,0.00044004,1.4609e-06,0.0025858,0.0083804,12.272,900,0.34788,0
0.013837,-0.0011998,-6.622e-07,0.00050596,1.5401e-06,0.0027073,0.008525,13.206,900,0.37436,0
0.013836,-0.0012689,-2.3309e-06,0.00057323,1.6157e-06,0.0028171,0.008613,14.14,900,0.40084,0
