"shear_lam","shear_tot","shear_turb","y_plus","Points:0","Points:1","Points:2"
0.0019444,0.0019444,9.2459e-09,0.12625,900,0.0035789,0
0.0019415,0.0019446,3.0909e-06,1.0605,900,0.030063,0
0.001925,0.0019447,1.9756e-05,1.9948,900,0.056548,0
0.0018848,0.0019449,6.015e-05,2.9291,900,0.083032,0
0.0018165,0.0019452,0.00012871,3.8633,900,0.10952,0
0.0017227,0.0019455,0.00022282,4.7976,900,0.136,0
0.0016104,0.0019459,0.00033545,5.7319,900,0.16249,0
0.0014872,0.0019461,0.0004589,6.6662,900,0.18897,0
0.0013607,0.0019461,0.00058549,7.6004,900,0.21545,0
0.0012367,0.001946,0.00070934,8.5347,900,0.24194,0
0.0011193,0.0019458,0.0008265,9.469,900,0.26842,0
0.0010106,0.0019454,0.00093475,10.403,900,0.29491,0
0.00091183,0.0019449,0.0010331,11.338,900,0.32139,0
0.00082301,0.0019443,0.0011213,12.272,900,0.34788,0
0.00074389,0.0019437,0.0011998,13.206,900,0.37436,0
0.00067411,0.001943,0.0012689,14.14,900,0.40084,0
0.00061226,0.0019423,0.00133,15.075,900,0.42733,0
0.00055741,0.0019415,0.0013841,16.009,900,0.45381,0
0.00050952,0.0019407,0.0014312,16.943,900,0.4803,0
0.00046671,0.0019399,0.0014732,17.877,900,0.50678,0
0.00042927,0.001939,0.0015097,18.812,900,0.53327,0
0.00039566,0.001938,0.0015423,19.746,900,0.55975,0
0.00036613,0.0019369,0.0015707,20.68,900,0.58624,0
0.00033971,0.0019356,0.0015959,21.615,900,0.61272,0
0.00031602,0.0019343,0.0016183,22.549,900,0.6392,0
0.00029507,0.0019329,0.0016378,23.483,900,0.66569,0
0.00027627,0.0019314,0.0016551,24.417,900,0.69217,0
0.00025935,0.0019299,0.0016706,25.352,900,0.71866,0
0.00024406,0.0019284,0.0016843,26.286,900,0.74514,0
0.00023027,0.0019268,0.0016966,27.22,900,0.77163,0
0.00021797,0.0019253,0.0017074,28.154,900,0.79811,0
0.00020682,0.0019238,0.001717,29.089,900,0.82459,0
0.00019666,0.0019222,0.0017256,30.023,900,0.85108,0
0.00018739,0.0019206,0.0017333,30.957,900,0.87756,0
0.00017889,0.001919,0.0017401,31.892,900,0.90405,0
0.00017109,0.0019172,0.0017461,32.826,900,0.93053,0
0.0001639,0.0019154,0.0017515,33.76,900,0.95702,0
0.00015727,0.0019134,0.0017561,34.694,900,0.9835,0
0.00015115,0.0019113,0.0017602,35.629,900,1.01,0
0.00014547,0.0019091,0.0017637,36.563,900,1.0365,0
0.00014021,0.0019068,0.0017666,37.497,900,1.063,0
0.00013535,0.0019045,0.0017691,38.431,900,1.0894,0
0.00013089,0.001902,0.0017711,39.366,900,1.1159,0
0.00012673,0.0018995,0.0017728,40.3,900,1.1424,0
0.00012283,0.0018969,0.0017741,41.234,900,1.1689,0
0.00011918,0.0018943,0.0017751,42.169,900,1.1954,0
0.00011579,0.0018917,0.0017759,43.103,900,1.2219,0
0.00011263,0.0018891,0.0017765,44.037,900,1.2483,0
0.0001097,0.0018865,0.0017768,44.971,900,1.2748,0
0.00010697,0.0018839,0.0017769,45.906,900,1.3013,0
0.00010443,0.0018813,0.0017769,46.84,900,1.3278,0
0.00010206,0.0018788,0.0017767,47.774,900,1.3543,0
9.9875e-05,0.0018763,0.0017764,48.708,900,1.3808,0
9.7874e-05,0.0018739,0.001776,49.643,900,1.4073,0
9.599e-05,0.0018715,0.0017755,50.577,900,1.4337,0
9.4203e-05,0.0018691,0.0017749,51.511,900,1.4602,0
9.2561e-05,0.0018668,0.0017742,52.446,900,1.4867,0
9.0986e-05,0.0018645,0.0017735,53.38,900,1.5132,0
8.9468e-05,0.0018622,0.0017727,54.314,900,1.5397,0
8.8028e-05,0.0018599,0.0017719,55.248,900,1.5662,0
8.6645e-05,0.0018576,0.001771,56.183,900,1.5926,0
8.5305e-05,0.0018553,0.00177,57.117,900,1.6191,0
8.4045e-05,0.001853,0.001769,58.051,900,1.6456,0
8.2828e-05,0.0018507,0.0017679,58.985,900,1.6721,0
8.1645e-05,0.0018484,0.0017668,59.92,900,1.6986,0
