"u_plus","y_plus","Points:0","Points:1","Points:2"
0.12625,0.12625,900,0.0035789,0
1.0602,1.0605,900,0.030063,0
1.9901,1.9948,900,0.056548,0
2.9068,2.9291,900,0.083032,0
3.7973,3.8633,900,0.10952,0
4.6485,4.7976,900,0.136,0
5.4505,5.7319,900,0.16249,0
6.1948,6.6662,900,0.18897,0
6.8803,7.6004,900,0.21545,0
7.5035,8.5347,900,0.24194,0
8.0689,9.469,900,0.26842,0
8.5801,10.403,900,0.29491,0
9.0416,11.338,900,0.32139,0
9.4584,12.272,900,0.34788,0
9.8349,13.206,900,0.37436,0
10.174,14.14,900,0.40084,0
10.483,15.075,900,0.42733,0
10.764,16.009,900,0.45381,0
11.019,16.943,900,0.4803,0
11.255,17.877,900,0.50678,0
11.469,18.812,900,0.53327,0
11.667,19.746,900,0.55975,0
11.85,20.68,900,0.58624,0
12.019,21.615,900,0.61272,0
12.177,22.549,900,0.6392,0
12.323,23.483,900,0.66569,0
12.46,24.417,900,0.69217,0
12.589,25.352,900,0.71866,0
12.71,26.286,900,0.74514,0
12.824,27.22,900,0.77163,0
12.931,28.154,900,0.79811,0
13.033,29.089,900,0.82459,0
13.13,30.023,900,0.85108,0
13.222,30.957,900,0.87756,0
13.31,31.892,900,0.90405,0
13.394,32.826,900,0.93053,0
13.474,33.76,900,0.95702,0
13.552,34.694,900,0.9835,0
13.626,35.629,900,1.01,0
13.697,36.563,900,1.0365,0
13.766,37.497,900,1.063,0
13.832,38.431,900,1.0894,0
13.896,39.366,900,1.1159,0
13.957,40.3,900,1.1424,0
14.017,41.234,900,1.1689,0
14.075,42.169,900,1.1954,0
14.132,43.103,900,1.2219,0
14.187,44.037,900,1.2483,0
14.24,44.971,900,1.2748,0
14.292,45.906,900,1.3013,0
14.343,46.84,900,1.3278,0
14.393,47.774,900,1.3543,0
14.441,48.708,900,1.3808,0
14.489,49.643,900,1.4073,0
14.535,50.577,900,1.4337,0
14.581,51.511,900,1.4602,0
14.626,52.446,900,1.4867,0
14.67,53.38,900,1.5132,0
14.713,54.314,900,1.5397,0
14.756,55.248,900,1.5662,0
14.798,56.183,900,1.5926,0
14.839,57.117,900,1.6191,0
14.88,58.051,900,1.6456,0
14.92,58.985,900,1.6721,0
14.959,59.92,900,1.6986,0
14.998,60.854,900,1.7251,0
15.037,61.788,900,1.7515,0
15.075,62.723,900,1.778,0
15.112,63.657,900,1.8045,0
15.149,64.591,900,1.831,0
15.185,65.525,900,1.8575,0
15.221,66.46,900,1.884,0
15.257,67.394,900,1.9105,0
15.292,68.328,900,1.9369,0
15.326,69.262,900,1.9634,0
15.36,70.197,900,1.9899,0
15.394,71.131,900,2.0164,0
15.428,72.065,900,2.0429,0
15.461,73,900,2.0694,0
15.494,73.934,900,2.0958,0
15.526,74.868,900,2.1223,0
15.558,75.802,900,2.1488,0
15.59,76.737,900,2.1753,0
15.622,77.671,900,2.2018,0
15.654,78.605,900,2.2283,0
15.685,79.539,900,2.2548,0
15.716,80.474,900,2.2812,0
15.746,81.408,900,2.3077,0
15.777,82.342,900,2.3342,0
15.807,83.277,900,2.3607,0
15.837,84.211,900,2.3872,0
15.867,85.145,900,2.4137,0
15.897,86.079,900,2.4401,0
15.926,87.014,900,2.4666,0
15.956,87.948,900,2.4931,0
15.985,88.882,900,2.5196,0
16.014,89.816,900,2.5461,0
16.042,90.751,900,2.5726,0
16.071,91.685,900,2.599,0
16.099,92.619,900,2.6255,0
16.128,93.554,900,2.652,0
16.156,94.488,900,2.6785,0
16.184,95.422,900,2.705,0
16.212,96.356,900,2.7315,0
16.24,97.291,900,2.758,0
16.267,98.225,900,2.7844,0
16.295,99.159,900,2.8109,0
16.322,100.09,900,2.8374,0
16.35,101.03,900,2.8639,0
16.377,101.96,900,2.8904,0
16.404,102.9,900,2.9169,0
16.431,103.83,900,2.9433,0
16.457,104.76,900,2.9698,0
16.484,105.7,900,2.9963,0
16.51,106.63,900,3.0228,0
16.537,107.57,900,3.0493,0
16.563,108.5,900,3.0758,0
16.589,109.44,900,3.1023,0
16.615,110.37,900,3.1287,0
16.641,111.3,900,3.1552,0
16.666,112.24,900,3.1817,0
16.692,113.17,900,3.2082,0
16.717,114.11,900,3.2347,0
16.742,115.04,900,3.2612,0
16.768,115.98,900,3.2876,0
16.793,116.91,900,3.3141,0
16.818,117.84,900,3.3406,0
16.843,118.78,900,3.3671,0
16.868,119.71,900,3.3936,0
16.892,120.65,900,3.4201,0
16.917,121.58,900,3.4465,0
16.942,122.52,900,3.473,0
16.966,123.45,900,3.4995,0
16.99,124.38,900,3.526,0
17.015,125.32,900,3.5525,0
17.039,126.25,900,3.579,0
17.063,127.19,900,3.6055,0
17.087,128.12,900,3.6319,0
17.111,129.06,900,3.6584,0
17.135,129.99,900,3.6849,0
17.158,130.92,900,3.7114,0
17.182,131.86,900,3.7379,0
17.206,132.79,900,3.7644,0
17.229,133.73,900,3.7908,0
17.252,134.66,900,3.8173,0
17.276,135.6,900,3.8438,0
17.299,136.53,900,3.8703,0
17.322,137.46,900,3.8968,0
17.345,138.4,900,3.9233,0
17.368,139.33,900,3.9498,0
17.391,140.27,900,3.9762,0
17.414,141.2,900,4.0027,0
17.437,142.14,900,4.0292,0
17.459,143.07,900,4.0557,0
17.482,144,900,4.0822,0
17.505,144.94,900,4.1087,0
17.527,145.87,900,4.1351,0
17.549,146.81,900,4.1616,0
17.572,147.74,900,4.1881,0
17.594,148.68,900,4.2146,0
17.616,149.61,900,4.2411,0
17.638,150.54,900,4.2676,0
17.66,151.48,900,4.294,0
17.682,152.41,900,4.3205,0
17.704,153.35,900,4.347,0
17.726,154.28,900,4.3735,0
17.748,155.22,900,4.4,0
17.77,156.15,900,4.4265,0
17.791,157.08,900,4.453,0
17.813,158.02,900,4.4794,0
17.835,158.95,900,4.5059,0
17.856,159.89,900,4.5324,0
17.878,160.82,900,4.5589,0
17.899,161.76,900,4.5854,0
17.92,162.69,900,4.6119,0
17.941,163.62,900,4.6383,0
17.963,164.56,900,4.6648,0
17.984,165.49,900,4.6913,0
18.005,166.43,900,4.7178,0
18.026,167.36,900,4.7443,0
18.047,168.3,900,4.7708,0
18.068,169.23,900,4.7973,0
18.089,170.16,900,4.8237,0
18.11,171.1,900,4.8502,0
18.131,172.03,900,4.8767,0
18.152,172.97,900,4.9032,0
18.172,173.9,900,4.9297,0
18.193,174.84,900,4.9562,0
18.214,175.77,900,4.9826,0
18.234,176.7,900,5.0091,0
18.255,177.64,900,5.0356,0
18.275,178.57,900,5.0621,0
18.296,179.51,900,5.0886,0
18.316,180.44,900,5.1151,0
18.336,181.38,900,5.1415,0
18.357,182.31,900,5.168,0
18.377,183.24,900,5.1945,0
18.397,184.18,900,5.221,0
18.417,185.11,900,5.2475,0
18.437,186.05,900,5.274,0
18.457,186.98,900,5.3005,0
18.477,187.92,900,5.3269,0
18.497,188.85,900,5.3534,0
18.517,189.78,900,5.3799,0
18.537,190.72,900,5.4064,0
18.557,191.65,900,5.4329,0
18.576,192.59,900,5.4594,0
18.596,193.52,900,5.4858,0
18.615,194.45,900,5.5123,0
18.635,195.39,900,5.5388,0
18.654,196.32,900,5.5653,0
18.674,197.26,900,5.5918,0
18.693,198.19,900,5.6183,0
18.713,199.13,900,5.6448,0
18.732,200.06,900,5.6712,0
18.751,200.99,900,5.6977,0
18.771,201.93,900,5.7242,0
18.79,202.86,900,5.7507,0
18.809,203.8,900,5.7772,0
18.828,204.73,900,5.8037,0
18.847,205.67,900,5.8301,0
18.867,206.6,900,5.8566,0
18.886,207.53,900,5.8831,0
18.905,208.47,900,5.9096,0
18.924,209.4,900,5.9361,0
18.943,210.34,900,5.9626,0
18.962,211.27,900,5.989,0
18.981,212.21,900,6.0155,0
19,213.14,900,6.042,0
19.019,214.07,900,6.0685,0
19.038,215.01,900,6.095,0
19.057,215.94,900,6.1215,0
19.076,216.88,900,6.148,0
19.095,217.81,900,6.1744,0
19.114,218.75,900,6.2009,0
19.133,219.68,900,6.2274,0
19.151,220.61,900,6.2539,0
19.17,221.55,900,6.2804,0
19.189,222.48,900,6.3069,0
19.208,223.42,900,6.3333,0
19.226,224.35,900,6.3598,0
19.245,225.29,900,6.3863,0
19.264,226.22,900,6.4128,0
19.282,227.15,900,6.4393,0
19.301,228.09,900,6.4658,0
19.319,229.02,900,6.4922,0
19.338,229.96,900,6.5187,0
19.356,230.89,900,6.5452,0
19.375,231.83,900,6.5717,0
19.393,232.76,900,6.5982,0
19.411,233.69,900,6.6247,0
19.429,234.63,900,6.6512,0
19.448,235.56,900,6.6776,0
19.466,236.5,900,6.7041,0
19.484,237.43,900,6.7306,0
19.502,238.37,900,6.7571,0
19.52,239.3,900,6.7836,0
19.538,240.23,900,6.8101,0
19.556,241.17,900,6.8365,0
19.573,242.1,900,6.863,0
19.591,243.04,900,6.8895,0
19.609,243.97,900,6.916,0
19.626,244.91,900,6.9425,0
19.644,245.84,900,6.969,0
19.662,246.77,900,6.9955,0
19.679,247.71,900,7.0219,0
19.697,248.64,900,7.0484,0
19.714,249.58,900,7.0749,0
19.732,250.51,900,7.1014,0
19.749,251.45,900,7.1279,0
19.767,252.38,900,7.1544,0
19.784,253.31,900,7.1808,0
19.801,254.25,900,7.2073,0
19.819,255.18,900,7.2338,0
19.836,256.12,900,7.2603,0
19.853,257.05,900,7.2868,0
19.871,257.99,900,7.3133,0
19.888,258.92,900,7.3397,0
19.905,259.85,900,7.3662,0
19.922,260.79,900,7.3927,0
19.94,261.72,900,7.4192,0
19.957,262.66,900,7.4457,0
19.974,263.59,900,7.4722,0
19.991,264.53,900,7.4987,0
20.008,265.46,900,7.5251,0
20.025,266.39,900,7.5516,0
20.042,267.33,900,7.5781,0
20.059,268.26,900,7.6046,0
20.076,269.2,900,7.6311,0
20.093,270.13,900,7.6576,0
20.11,271.07,900,7.684,0
20.127,272,900,7.7105,0
20.143,272.93,900,7.737,0
20.16,273.87,900,7.7635,0
20.177,274.8,900,7.79,0
20.194,275.74,900,7.8165,0
20.211,276.67,900,7.843,0
20.227,277.61,900,7.8694,0
20.244,278.54,900,7.8959,0
20.261,279.47,900,7.9224,0
20.277,280.41,900,7.9489,0
20.294,281.34,900,7.9754,0
20.31,282.28,900,8.0019,0
20.327,283.21,900,8.0283,0
20.343,284.15,900,8.0548,0
20.36,285.08,900,8.0813,0
20.376,286.01,900,8.1078,0
20.393,286.95,900,8.1343,0
20.409,287.88,900,8.1608,0
20.425,288.82,900,8.1873,0
20.442,289.75,900,8.2137,0
20.458,290.69,900,8.2402,0
20.474,291.62,900,8.2667,0
20.49,292.55,900,8.2932,0
20.506,293.49,900,8.3197,0
20.522,294.42,900,8.3462,0
20.538,295.36,900,8.3726,0
20.553,296.29,900,8.3991,0
20.569,297.22,900,8.4256,0
20.585,298.16,900,8.4521,0
20.6,299.09,900,8.4786,0
20.616,300.03,900,8.5051,0
20.632,300.96,900,8.5315,0
20.647,301.9,900,8.558,0
20.662,302.83,900,8.5845,0
20.677,303.76,900,8.611,0
20.693,304.7,900,8.6375,0
20.708,305.63,900,8.664,0
20.723,306.57,900,8.6905,0
20.738,307.5,900,8.7169,0
20.753,308.44,900,8.7434,0
20.767,309.37,900,8.7699,0
20.782,310.3,900,8.7964,0
20.797,311.24,900,8.8229,0
20.811,312.17,900,8.8494,0
20.826,313.11,900,8.8758,0
20.841,314.04,900,8.9023,0
20.855,314.98,900,8.9288,0
20.869,315.91,900,8.9553,0
20.884,316.84,900,8.9818,0
20.898,317.78,900,9.0083,0
20.912,318.71,900,9.0347,0
20.927,319.65,900,9.0612,0
20.941,320.58,900,9.0877,0
20.955,321.52,900,9.1142,0
20.969,322.45,900,9.1407,0
20.983,323.38,900,9.1672,0
20.997,324.32,900,9.1937,0
21.011,325.25,900,9.2201,0
21.025,326.19,900,9.2466,0
21.039,327.12,900,9.2731,0
21.053,328.06,900,9.2996,0
21.067,328.99,900,9.3261,0
21.08,329.92,900,9.3526,0
21.094,330.86,900,9.379,0
21.108,331.79,900,9.4055,0
21.122,332.73,900,9.432,0
21.135,333.66,900,9.4585,0
21.149,334.6,900,9.485,0
21.163,335.53,900,9.5115,0
21.176,336.46,900,9.538,0
21.19,337.4,900,9.5644,0
21.204,338.33,900,9.5909,0
21.217,339.27,900,9.6174,0
21.23,340.2,900,9.6439,0
21.244,341.14,900,9.6704,0
21.257,342.07,900,9.6969,0
21.271,343,900,9.7233,0
21.284,343.94,900,9.7498,0
21.297,344.87,900,9.7763,0
21.311,345.81,900,9.8028,0
21.324,346.74,900,9.8293,0
21.337,347.68,900,9.8558,0
21.35,348.61,900,9.8822,0
21.363,349.54,900,9.9087,0
21.376,350.48,900,9.9352,0
21.389,351.41,900,9.9617,0
21.402,352.35,900,9.9882,0
21.415,353.28,900,10.015,0
21.428,354.22,900,10.041,0
21.44,355.15,900,10.068,0
21.453,356.08,900,10.094,0
21.466,357.02,900,10.121,0
21.479,357.95,900,10.147,0
21.491,358.89,900,10.174,0
21.504,359.82,900,10.2,0
21.516,360.76,900,10.227,0
21.529,361.69,900,10.253,0
21.541,362.62,900,10.28,0
21.554,363.56,900,10.306,0
21.566,364.49,900,10.332,0
21.579,365.43,900,10.359,0
21.591,366.36,900,10.385,0
21.603,367.3,900,10.412,0
21.615,368.23,900,10.438,0
21.627,369.16,900,10.465,0
21.64,370.1,900,10.491,0
21.652,371.03,900,10.518,0
21.664,371.97,900,10.544,0
21.676,372.9,900,10.571,0
21.688,373.84,900,10.597,0
21.699,374.77,900,10.624,0
21.711,375.7,900,10.65,0
21.723,376.64,900,10.677,0
21.734,377.57,900,10.703,0
21.746,378.51,900,10.73,0
21.758,379.44,900,10.756,0
21.769,380.38,900,10.783,0
21.781,381.31,900,10.809,0
21.792,382.24,900,10.836,0
21.803,383.18,900,10.862,0
21.815,384.11,900,10.889,0
21.826,385.05,900,10.915,0
21.837,385.98,900,10.942,0
21.848,386.92,900,10.968,0
21.86,387.85,900,10.995,0
21.87,388.78,900,11.021,0
21.881,389.72,900,11.048,0
21.892,390.65,900,11.074,0
21.903,391.59,900,11.101,0
21.914,392.52,900,11.127,0
21.925,393.45,900,11.153,0
21.935,394.39,900,11.18,0
21.946,395.32,900,11.206,0
21.956,396.26,900,11.233,0
21.967,397.19,900,11.259,0
21.977,398.13,900,11.286,0
21.987,399.06,900,11.312,0
21.998,399.99,900,11.339,0
22.008,400.93,900,11.365,0
22.018,401.86,900,11.392,0
22.029,402.8,900,11.418,0
22.038,403.73,900,11.445,0
22.048,404.67,900,11.471,0
22.058,405.6,900,11.498,0
22.068,406.53,900,11.524,0
22.078,407.47,900,11.551,0
22.088,408.4,900,11.577,0
22.097,409.34,900,11.604,0
22.107,410.27,900,11.63,0
22.117,411.21,900,11.657,0
22.126,412.14,900,11.683,0
22.135,413.07,900,11.71,0
22.145,414.01,900,11.736,0
22.154,414.94,900,11.763,0
22.164,415.88,900,11.789,0
22.173,416.81,900,11.816,0
22.182,417.75,900,11.842,0
22.191,418.68,900,11.869,0
22.2,419.61,900,11.895,0
22.209,420.55,900,11.922,0
22.218,421.48,900,11.948,0
22.227,422.42,900,11.975,0
22.236,423.35,900,12.001,0
22.245,424.29,900,12.027,0
22.253,425.22,900,12.054,0
22.262,426.15,900,12.08,0
22.27,427.09,900,12.107,0
22.279,428.02,900,12.133,0
22.287,428.96,900,12.16,0
22.295,429.89,900,12.186,0
22.304,430.83,900,12.213,0
22.312,431.76,900,12.239,0
22.32,432.69,900,12.266,0
22.329,433.63,900,12.292,0
22.337,434.56,900,12.319,0
22.344,435.5,900,12.345,0
22.352,436.43,900,12.372,0
22.36,437.37,900,12.398,0
22.368,438.3,900,12.425,0
22.375,439.23,900,12.451,0
22.383,440.17,900,12.478,0
22.391,441.1,900,12.504,0
22.399,442.04,900,12.531,0
22.406,442.97,900,12.557,0
