"Dissipation","Production","Points:0","Points:1","Points:2"
-5.3568e-05,1.4385e-08,900,0.0035789,0
-0.00022046,4.8014e-06,900,0.030063,0
-0.00040404,3.043e-05,900,0.056548,0
-0.00056903,9.073e-05,900,0.083032,0
-0.00070427,0.00018708,900,0.10952,0
-0.00080284,0.00030703,900,0.136,0
-0.0008645,0.0004323,900,0.16249,0
-0.00089196,0.0005461,900,0.18897,0
-0.00089269,0.0006381,900,0.21545,0
-0.00087248,0.00070248,900,0.24194,0
-0.00083869,0.0007408,900,0.26842,0
-0.00079663,0.00075664,900,0.29491,0
-0.00075032,0.00075464,900,0.32139,0
-0.00070265,0.00073953,900,0.34788,0
-0.00065565,0.00071542,900,0.37436,0
-0.00061066,0.00068548,900,0.40084,0
-0.00056832,0.00065263,900,0.42733,0
-0.00052884,0.00061855,900,0.45381,0
-0.00049273,0.00058454,900,0.4803,0
-0.00045937,0.00055132,900,0.50678,0
-0.00042918,0.00051963,900,0.53327,0
-0.00040142,0.00048944,900,0.55975,0
-0.00037635,0.00046132,900,0.58624,0
-0.00035349,0.00043496,900,0.61272,0
-0.00033261,0.00041044,900,0.6392,0
-0.00031382,0.00038791,900,0.66569,0
-0.00029672,0.00036708,900,0.69217,0
-0.00028111,0.00034785,900,0.71866,0
-0.00026687,0.00033009,900,0.74514,0
-0.00025389,0.00031377,900,0.77163,0
-0.00024216,0.00029894,900,0.79811,0
-0.00023141,0.00028532,900,0.82459,0
-0.00022158,0.00027272,900,0.85108,0
-0.00021254,0.00026111,900,0.87756,0
-0.0002042,0.00025035,900,0.90405,0
-0.00019648,0.00024037,900,0.93053,0
-0.00018931,0.00023107,900,0.95702,0
-0.00018266,0.00022241,900,0.9835,0
-0.00017648,0.00021433,900,1.01,0
-0.00017076,0.00020678,900,1.0365,0
-0.00016543,0.00019971,900,1.063,0
-0.00016048,0.00019315,900,1.0894,0
-0.00015591,0.00018704,900,1.1159,0
-0.00015165,0.00018131,900,1.1424,0
-0.00014769,0.00017589,900,1.1689,0
-0.00014398,0.0001708,900,1.1954,0
-0.00014049,0.00016603,900,1.2219,0
-0.00013722,0.00016157,900,1.2483,0
-0.00013421,0.00015739,900,1.2748,0
-0.0001314,0.00015352,900,1.3013,0
-0.00012876,0.00014989,900,1.3278,0
-0.00012629,0.00014648,900,1.3543,0
-0.00012401,0.00014335,900,1.3808,0
-0.00012192,0.00014048,900,1.4073,0
-0.00011995,0.00013777,900,1.4337,0
-0.00011808,0.0001352,900,1.4602,0
-0.00011636,0.00013284,900,1.4867,0
-0.00011472,0.00013057,900,1.5132,0
-0.00011315,0.00012837,900,1.5397,0
-0.00011165,0.00012628,900,1.5662,0
-0.00011023,0.00012427,900,1.5926,0
-0.00010885,0.00012232,900,1.6191,0
-0.00010756,0.00012045,900,1.6456,0
-0.00010631,0.00011864,900,1.6721,0
-0.00010509,0.00011686,900,1.6986,0
-0.00010395,0.00011515,900,1.7251,0
-0.00010284,0.00011345,900,1.7515,0
-0.00010176,0.00011181,900,1.778,0
-0.00010072,0.00011019,900,1.8045,0
-9.9691e-05,0.00010859,900,1.831,0
-9.8726e-05,0.00010708,900,1.8575,0
-9.7775e-05,0.0001056,900,1.884,0
-9.6859e-05,0.00010419,900,1.9105,0
-9.5967e-05,0.00010284,900,1.9369,0
-9.5096e-05,0.00010153,900,1.9634,0
-9.4267e-05,0.00010034,900,1.9899,0
-9.3453e-05,9.9178e-05,900,2.0164,0
-9.2707e-05,9.8138e-05,900,2.0429,0
-9.1972e-05,9.7115e-05,900,2.0694,0
-9.1316e-05,9.62e-05,900,2.0958,0
-9.0673e-05,9.5305e-05,900,2.1223,0
-9.0097e-05,9.4523e-05,900,2.1488,0
-8.9532e-05,9.3748e-05,900,2.1753,0
-8.9004e-05,9.2998e-05,900,2.2018,0
-8.8482e-05,9.2256e-05,900,2.2283,0
-8.7975e-05,9.1538e-05,900,2.2548,0
-8.7474e-05,9.0826e-05,900,2.2812,0
-8.6995e-05,9.0135e-05,900,2.3077,0
-8.6522e-05,8.945e-05,900,2.3342,0
-8.6077e-05,8.8797e-05,900,2.3607,0
-8.5634e-05,8.8147e-05,900,2.3872,0
-8.5218e-05,8.7533e-05,900,2.4137,0
-8.4803e-05,8.6919e-05,900,2.4401,0
-8.4417e-05,8.6346e-05,900,2.4666,0
-8.4036e-05,8.5778e-05,900,2.4931,0
-8.3683e-05,8.5228e-05,900,2.5196,0
-8.3344e-05,8.4686e-05,900,2.5461,0
-8.303e-05,8.4164e-05,900,2.5726,0
-8.2744e-05,8.3666e-05,900,2.599,0
-8.2466e-05,8.3177e-05,900,2.6255,0
-8.222e-05,8.2735e-05,900,2.652,0
-8.1974e-05,8.2293e-05,900,2.6785,0
-8.1742e-05,8.1854e-05,900,2.705,0
-8.1514e-05,8.1415e-05,900,2.7315,0
-8.1285e-05,8.0973e-05,900,2.758,0
-8.1054e-05,8.0527e-05,900,2.7844,0
-8.0821e-05,8.0079e-05,900,2.8109,0
-8.0572e-05,7.9596e-05,900,2.8374,0
-8.0322e-05,7.9113e-05,900,2.8639,0
-8.0056e-05,7.862e-05,900,2.8904,0
-7.9779e-05,7.8119e-05,900,2.9169,0
-7.9501e-05,7.7619e-05,900,2.9433,0
-7.9211e-05,7.7133e-05,900,2.9698,0
-7.8921e-05,7.6647e-05,900,2.9963,0
-7.8627e-05,7.6165e-05,900,3.0228,0
-7.8329e-05,7.5687e-05,900,3.0493,0
-7.8032e-05,7.5209e-05,900,3.0758,0
-7.7746e-05,7.4758e-05,900,3.1023,0
-7.7463e-05,7.4311e-05,900,3.1287,0
-7.7189e-05,7.3877e-05,900,3.1552,0
-7.6953e-05,7.3497e-05,900,3.1817,0
-7.6718e-05,7.3117e-05,900,3.2082,0
-7.6499e-05,7.275e-05,900,3.2347,0
-7.6297e-05,7.2398e-05,900,3.2612,0
-7.6095e-05,7.2047e-05,900,3.2876,0
-7.59e-05,7.169e-05,900,3.3141,0
-7.5707e-05,7.1331e-05,900,3.3406,0
-7.5513e-05,7.0972e-05,900,3.3671,0
-7.5314e-05,7.0601e-05,900,3.3936,0
-7.5114e-05,7.0228e-05,900,3.4201,0
-7.4914e-05,6.9855e-05,900,3.4465,0
-7.4715e-05,6.9469e-05,900,3.473,0
-7.4516e-05,6.9083e-05,900,3.4995,0
-7.4318e-05,6.8697e-05,900,3.526,0
-7.414e-05,6.8319e-05,900,3.5525,0
-7.3962e-05,6.794e-05,900,3.579,0
-7.3784e-05,6.7563e-05,900,3.6055,0
-7.3629e-05,6.7204e-05,900,3.6319,0
-7.3474e-05,6.6845e-05,900,3.6584,0
-7.3319e-05,6.6486e-05,900,3.6849,0
-7.3177e-05,6.6135e-05,900,3.7114,0
-7.3035e-05,6.5785e-05,900,3.7379,0
-7.2892e-05,6.5434e-05,900,3.7644,0
-7.274e-05,6.5079e-05,900,3.7908,0
-7.2586e-05,6.4724e-05,900,3.8173,0
-7.2432e-05,6.4368e-05,900,3.8438,0
-7.227e-05,6.4019e-05,900,3.8703,0
-7.2104e-05,6.3672e-05,900,3.8968,0
-7.1937e-05,6.3325e-05,900,3.9233,0
-7.1771e-05,6.298e-05,900,3.9498,0
-7.1606e-05,6.2637e-05,900,3.9762,0
-7.144e-05,6.2294e-05,900,4.0027,0
-7.1276e-05,6.1953e-05,900,4.0292,0
-7.1123e-05,6.1626e-05,900,4.0557,0
-7.097e-05,6.1299e-05,900,4.0822,0
-7.0817e-05,6.0972e-05,900,4.1087,0
-7.0687e-05,6.0673e-05,900,4.1351,0
-7.0564e-05,6.0383e-05,900,4.1616,0
-7.044e-05,6.0092e-05,900,4.1881,0
-7.0326e-05,5.9808e-05,900,4.2146,0
-7.0228e-05,5.9537e-05,900,4.2411,0
-7.013e-05,5.9266e-05,900,4.2676,0
-7.0033e-05,5.8995e-05,900,4.294,0
-6.9922e-05,5.872e-05,900,4.3205,0
-6.9809e-05,5.8445e-05,900,4.347,0
-6.9696e-05,5.817e-05,900,4.3735,0
-6.9577e-05,5.789e-05,900,4.4,0
-6.9439e-05,5.7598e-05,900,4.4265,0
-6.9302e-05,5.7307e-05,900,4.453,0
-6.9165e-05,5.7015e-05,900,4.4794,0
-6.9032e-05,5.6733e-05,900,4.5059,0
-6.8902e-05,5.6456e-05,900,4.5324,0
-6.8772e-05,5.6179e-05,900,4.5589,0
-6.8642e-05,5.5902e-05,900,4.5854,0
-6.8548e-05,5.565e-05,900,4.6119,0
-6.8458e-05,5.54e-05,900,4.6383,0
-6.8369e-05,5.515e-05,900,4.6648,0
-6.8283e-05,5.4904e-05,900,4.6913,0
-6.8223e-05,5.468e-05,900,4.7178,0
-6.8163e-05,5.4456e-05,900,4.7443,0
-6.8103e-05,5.4231e-05,900,4.7708,0
-6.804e-05,5.4007e-05,900,4.7973,0
-6.7968e-05,5.3782e-05,900,4.8237,0
-6.7896e-05,5.3556e-05,900,4.8502,0
-6.7824e-05,5.3331e-05,900,4.8767,0
-6.7741e-05,5.3103e-05,900,4.9032,0
-6.764e-05,5.2869e-05,900,4.9297,0
-6.7539e-05,5.2635e-05,900,4.9562,0
-6.7439e-05,5.2401e-05,900,4.9826,0
-6.7335e-05,5.2165e-05,900,5.0091,0
-6.7226e-05,5.1924e-05,900,5.0356,0
-6.7117e-05,5.1684e-05,900,5.0621,0
-6.7008e-05,5.1443e-05,900,5.0886,0
-6.6902e-05,5.1204e-05,900,5.1151,0
-6.6801e-05,5.0967e-05,900,5.1415,0
-6.67e-05,5.0731e-05,900,5.168,0
-6.6599e-05,5.0495e-05,900,5.1945,0
-6.6499e-05,5.026e-05,900,5.221,0
-6.6397e-05,5.0029e-05,900,5.2475,0
-6.6296e-05,4.9798e-05,900,5.274,0
-6.6195e-05,4.9567e-05,900,5.3005,0
-6.6094e-05,4.9337e-05,900,5.3269,0
-6.5984e-05,4.91e-05,900,5.3534,0
-6.5874e-05,4.8864e-05,900,5.3799,0
-6.5763e-05,4.8627e-05,900,5.4064,0
-6.5653e-05,4.839e-05,900,5.4329,0
-6.5548e-05,4.8168e-05,900,5.4594,0
-6.5446e-05,4.7954e-05,900,5.4858,0
-6.5345e-05,4.774e-05,900,5.5123,0
-6.5243e-05,4.7526e-05,900,5.5388,0
-6.5149e-05,4.7323e-05,900,5.5653,0
-6.5077e-05,4.7149e-05,900,5.5918,0
-6.5006e-05,4.6976e-05,900,5.6183,0
-6.4934e-05,4.6803e-05,900,5.6448,0
-6.4862e-05,4.6629e-05,900,5.6712,0
-6.4812e-05,4.647e-05,900,5.6977,0
-6.4767e-05,4.6315e-05,900,5.7242,0
-6.4722e-05,4.6159e-05,900,5.7507,0
-6.4677e-05,4.6004e-05,900,5.7772,0
-6.4636e-05,4.5847e-05,900,5.8037,0
-6.4604e-05,4.5687e-05,900,5.8301,0
-6.4573e-05,4.5527e-05,900,5.8566,0
