"tau_wall","y_plus","Points:0","Points:1","Points:2"
8.7676,0.12625,30.218,0.0035789,0
8.6683,0.12625,31.088,0.0035789,0
8.5722,0.12625,31.958,0.0035789,0
8.4792,0.12625,32.828,0.0035789,0
8.3893,0.12625,33.698,0.0035789,0
8.3021,0.12625,34.567,0.0035789,0
8.2177,0.12625,35.437,0.0035789,0
8.136,0.12625,36.307,0.0035789,0
8.0568,0.12625,37.177,0.0035789,0
7.98,0.12625,38.047,0.0035789,0
7.9056,0.12625,38.916,0.0035789,0
7.8334,0.12625,39.786,0.0035789,0
7.7634,0.12625,40.656,0.0035789,0
7.6954,0.12625,41.526,0.0035789,0
7.6295,0.12625,42.395,0.0035789,0
7.5655,0.12625,43.265,0.0035789,0
7.5034,0.12625,44.135,0.0035789,0
7.443,0.12625,45.005,0.0035789,0
7.3844,0.12625,45.875,0.0035789,0
7.3273,0.12625,46.744,0.0035789,0
7.2719,0.12625,47.614,0.0035789,0
7.2179,0.12625,48.484,0.0035789,0
7.1654,0.12625,49.354,0.0035789,0
7.1142,0.12625,50.223,0.0035789,0
7.0645,0.12625,51.093,0.0035789,0
7.016,0.12625,51.963,0.0035789,0
6.9687,0.12625,52.833,0.0035789,0
6.9226,0.12625,53.703,0.0035789,0
6.8777,0.12625,54.572,0.0035789,0
6.8339,0.12625,55.442,0.0035789,0
6.7911,0.12625,56.312,0.0035789,0
6.7494,0.12625,57.182,0.0035789,0
6.7086,0.12625,58.052,0.0035789,0
6.6689,0.12625,58.921,0.0035789,0
6.63,0.12625,59.791,0.0035789,0
6.592,0.12625,60.661,0.0035789,0
6.5549,0.12625,61.531,0.0035789,0
6.5185,0.12625,62.4,0.0035789,0
6.483,0.12625,63.27,0.0035789,0
6.4483,0.12625,64.14,0.0035789,0
6.4143,0.12625,65.01,0.0035789,0
6.3809,0.12625,65.88,0.0035789,0
6.3483,0.12625,66.749,0.0035789,0
6.3163,0.12625,67.619,0.0035789,0
6.285,0.12625,68.489,0.0035789,0
6.2543,0.12625,69.359,0.0035789,0
6.2242,0.12625,70.228,0.0035789,0
6.1946,0.12625,71.098,0.0035789,0
6.1657,0.12625,71.968,0.0035789,0
6.1372,0.12625,72.838,0.0035789,0
6.1093,0.12625,73.708,0.0035789,0
6.082,0.12625,74.577,0.0035789,0
6.0551,0.12625,75.447,0.0035789,0
6.0287,0.12625,76.317,0.0035789,0
6.0027,0.12625,77.187,0.0035789,0
5.9772,0.12625,78.056,0.0035789,0
5.9521,0.12625,78.926,0.0035789,0
5.9275,0.12625,79.796,0.0035789,0
5.9032,0.12625,80.666,0.0035789,0
5.8794,0.12625,81.536,0.0035789,0
5.8559,0.12625,82.405,0.0035789,0
5.8328,0.12625,83.275,0.0035789,0
5.8101,0.12625,84.145,0.0035789,0
5.7878,0.12625,85.015,0.0035789,0
5.7658,0.12625,85.885,0.0035789,0
5.7441,0.12625,86.754,0.0035789,0
5.7228,0.12625,87.624,0.0035789,0
5.7018,0.12625,88.494,0.0035789,0
5.6811,0.12625,89.364,0.0035789,0
5.6608,0.12625,90.233,0.0035789,0
