Time,U,V,W
0.00012,0.4061871,0.0054089739,-9.717691e-09
0.000264,0.40584448,0.0054112478,-3.5758799e-08
0.0004368,0.4052669,0.0054362893,1.5377025e-09
0.00064416,0.40464796,0.0054656906,-2.4695636e-09
0.000892992,0.40407248,0.0054928997,-1.3395587e-09
0.0011915904,0.40352981,0.0055182308,-1.1666918e-09
0.0015499085,0.40297296,0.005544576,-2.8448013e-09
0.0019798902,0.40234621,0.005575158,-3.3507848e-09
0.0024958682,0.40160107,0.005612763,-2.0078379e-09
0.0031150419,0.40069332,0.0056599421,-1.4416652e-09
0.0038580502,0.39957363,0.0057196025,-4.4932694e-09
0.0047496603,0.39818602,0.0057948631,-3.323098e-09
0.0057496603,0.39658289,0.0058832651,-5.46105e-09
0.0067496603,0.39493587,0.005975799,-6.0697753e-09
0.0077496603,0.393185,0.0060762113,-6.3131601e-09
0.0087496603,0.39138261,0.0061809124,-5.2321254e-09
0.0097496603,0.38955999,0.0062880934,-2.390219e-08
0.01074966,0.38768296,0.0063995974,-1.4025395e-08
0.01174966,0.38571923,0.0065173793,-9.3374167e-09
0.01274966,0.38367516,0.0066411201,-8.7829836e-09
0.01374966,0.38159084,0.0067682901,-1.2648953e-08
0.01474966,0.3794609,0.0068990874,-1.0465099e-08
0.01574966,0.37727958,0.0070341268,-1.1744983e-08
0.01674966,0.37504995,0.0071733082,-1.1903473e-08
0.01774966,0.37277229,0.0073165542,-1.242828e-08
0.01874966,0.37039545,0.0074674652,-9.6439845e-09
0.01974966,0.36795688,0.0076234474,-1.2277062e-08
0.02074966,0.36546143,0.0077842594,-1.0515676e-08
0.02174966,0.36291516,0.0079497414,-8.4888792e-09
0.02274966,0.36032123,0.008119988,-1.9175853e-08
0.02374966,0.35766741,0.0082953812,-1.2626442e-08
0.02474966,0.35495465,0.0084759125,-1.4007686e-08
0.02574966,0.35218539,0.00866158,-1.6246762e-08
0.02674966,0.34936466,0.0088523212,-3.1185896e-08
0.02774966,0.34647891,0.009049117,-1.5309065e-08
0.02874966,0.34352964,0.0092517738,-1.3816674e-08
0.02974966,0.3405423,0.009458745,-1.4314741e-08
0.03074966,0.33750804,0.0096702112,-1.0887831e-08
0.03174966,0.33442225,0.0098867695,-2.0078014e-08
0.03274966,0.33128223,0.010109172,-2.2021347e-08
0.03374966,0.3280805,0.010337861,-2.0565605e-08
0.03474966,0.32485114,0.010570157,-1.0550604e-08
0.03574966,0.32156858,0.010808209,-8.8154063e-09
0.03674966,0.31823518,0.011051788,-7.4093167e-09
0.03774966,0.31483716,0.011302204,1.0566681e-09
0.03874966,0.31137908,0.011558619,-4.7985841e-09
0.03974966,0.30786148,0.011821408,3.3199023e-09
0.04074966,0.30429171,0.012090393,1.152905e-09
0.04174966,0.300671,0.012365044,6.1872405e-09
0.04274966,0.29699887,0.012645468,7.5724004e-09
0.04374966,0.29328005,0.01293121,1.0408827e-08
0.04474966,0.28950762,0.013222875,1.1673589e-08
0.04574966,0.28568939,0.013520283,8.3376263e-09
0.04674966,0.28180428,0.013825193,1.1002359e-08
0.04774966,0.27786048,0.014136849,1.2523491e-08
0.04874966,0.27385056,0.01445575,1.3456963e-08
0.04974966,0.26977869,0.014781882,1.2000027e-08
0.05074966,0.2656554,0.015114347,1.0584071e-08
0.05174966,0.26148153,0.015453124,9.1389689e-09
0.05274966,0.25725229,0.015798716,8.4368826e-09
0.05374966,0.25296535,0.016151069,8.5358774e-09
0.05474966,0.24862089,0.01650987,1.0458782e-08
0.05574966,0.24421683,0.016876592,3.4295795e-09
0.05674966,0.23975798,0.017249506,6.1308641e-09
